user_id,evm_address,sui_address,final_amount,chain_name,asset_name,tx_hash,status,timestamp
9624,0x434c2d9316f62766adffec3b0ba9672eb7946ed6,0x,78.83359197,arb,USDT,0x62d03094fcd7e0fe01659c552ad394f389bf71abb5bdf0d074a96181756cb05d,success,2025-06-25T15:34:43.164947
13846,0xcb36db29a298e9bef6fe93d6ae32432b1bdc9e50,0x,62.67079804,arb,USDT,0x64fb3b5a42226850e907968d7530ed53c70dd7c0188241f9021a4454ee48a96c,success,2025-06-25T15:34:43.164953
9849,0x3a2a0e5ed37d976e546aa843652e65c16e297004,0x,47.68845409,arb,USDT,0x60cd908644f72727bef6f23cffab70f5df85be1fa6cb6929ffb6274524433776,success,2025-06-25T15:34:43.164959
8404,0xaa533a939d596ec95a0bd70b02d8f6a7535a30b3,0x,34.8016082,arb,USDT,0x0231c7273107adfdb8279f58ca93a66879a575d6d9485247343d9dcb609e55d2,success,2025-06-25T15:34:43.164965
9179,0x22a8d39ef6b62b76a8eb8f16116f57ac061a4c97,0x,33.18571792,arb,USDT,0x23fe17835984f8a5488636aaabc1a5ef2df306683ebd63fe03d1ea7c7ab5cdf1,success,2025-06-25T15:34:43.164971
13912,0xba9dca6d3b35fc924e942f18df422d331cdade6f,0x209a7434d8262b7c3ebe06e289401d024e1303e5b5b0b496e80e4dacbb82f6c0,31.50308248,arb,USDT,0xb6379f9e40998a5b463f1ee28ea7f398da8ea05832e210e8e3c6dcc374ac4ae9,success,2025-06-25T15:34:43.164977
7590,0x306ba87ec4e61112bbb831dc6bb001c98a91c051,0x,30.82743803,arb,USDT,0x3817f79d44cf09fea1dcabfad27d0c4c5d625c0567c5acc7dc32b45e71b3999b,success,2025-06-25T15:34:43.164985
9595,0xa0eae644413c292c536dfe7294fb2a63f2296f4e,0x,26.34286383,arb,USDT,0x7676fac20b94f1bb00bc8ad43609ba4bd526b634ac57af01113ebedf1323e6ff,success,2025-06-25T15:34:43.164990
12767,0xe5e1990f41b777de3a072755d0c7b2ea4aa1e128,0x2fcd02e3dac078869008543253e13fc2cedca4aae707b92894516e86aa9f303d,16.09368432,arb,USDT,0xacdb4292109473698ccc0efc2771b7c35c3184e1f2de68c3aee3871107fcdc06,success,2025-06-25T15:34:43.164996
7267,0xbe42a09d29bfa9ee0f2f7d41eb25ac35a14627aa,0x6a7741e851f4870c2026828aca5f48971f96dafb6d56b0f80a2a4d1b1a5ce9ae,12.65448198,arb,USDT,0x8fe68398524f96bbb870a1c57accbf41fb3b653f1f83e4822c37e4e384e12b34,success,2025-06-25T15:34:43.165003
9628,0x58b5c703e0221b1cb33b11dd625b3ac24d4c3e96,0x,12.19487174,arb,USDT,0xdcc711861f6c64a010a5fa43eb107c6ca9f3b4fffba5e74a75b15db65ee97c44,success,2025-06-25T15:34:43.165011
12145,0xad4cf317f7a166a769b2bca0ec6c5571e990535f,0x31bcdb922a883122022cf4d16a2b32b44d6cb0a1e8cf2db4167204577c4be100,10.91433481,arb,USDT,0xd3af7c52a368d543b539dd2282fa908d09531c88fb8fb0b198e0c63423b9f623,success,2025-06-25T15:34:43.165017
7512,0x,0x2e7cb1144ae8fc589b56cb4694ad9707b68f134e5cc0153a56c20ad11dda28db,8.78606231,arb,USDT,,success,2025-06-25T15:34:43.165024
10155,0x072fad42060b51c01811094450a8b51037bfe26a,0x,6.83224454,arb,USDT,0xf3504ede6f7729fa8dbcb01cbd732d1fe09037490cf63e9ddbbd4f04f8ac6ebb,success,2025-06-25T15:34:43.165030
9488,0xc24229aa112cc923e721b4a1f9d3e70d6e3e13f1,0x,6.21479946,arb,USDT,0xaf5638862bec62175e3bea21d37dc96396c2e7767962aba60318a57db7a6ad19,success,2025-06-25T15:34:43.165037
7610,0x53108ac329d0559428df6b19b150b185936dbf19,0x,5.7473451,arb,USDT,0xe1eb271d3f0dfb962a83e7f7db779fd825d6d7c8d96fde167552f94d9f3ff943,success,2025-06-25T15:34:43.165043
9087,0xf53955774467c9af7091b514318e6b03e257a7ad,0x,5.73520959,arb,USDT,0xc42fe3778ed2ec1187502fd50b9ee77f8ba1b92fa2c5b388c8133617eea0c956,success,2025-06-25T15:34:43.165049
9456,0xbf5cdd757d57d577558c675a8065dcac24afd925,0x,5.7230129,arb,USDT,0x5be2bee4af4a942a39cbb7c109e0e2672a87cebbd2f610d0eab1df225aa3eebd,success,2025-06-25T15:34:43.165055
7782,0xe7f502db0bf587c13493948a1a7dccf1e21a7976,0x,5.70138663,arb,USDT,0x0801d628203cc21d448e618876eac27972ea9c2fae01e8b82020a3d267a7bdc3,success,2025-06-25T15:34:43.165060
10488,0x50cd8fbcf8caeaf7b9b55048d0eb1a3da3edda85,0x7f116fc2cf7918db6b3cceb22e8b03fe8a921d950c6b9036c1fc630772cf809c,4.92879104,arb,USDT,0xe508c71a7706443dd913781b7cda92ed6860460d31d8b8db9cfc911aebf222b6,success,2025-06-25T15:34:43.165067
64,0x56e6b2d900de493eb845a34a7b4094a540308f71,0x70f4debad73a932b4c9fabd43c2d403a4b2549273774ec7e11936bbabc011cf9,4.46454677,arb,USDT,0xcf45a7ec3fa4ccc99f71982f79bfe5a0621c538358cdfb69f7c91dfb48600ecb,success,2025-06-25T15:34:43.165073
11850,0x65a45657c8a0a1e94d896d4e42df231598ff841b,0xe24dedf674a19a9b625898fb7c5b7667a02366f0c207e40664a775d5e2c89cde,3.69999793,arb,USDT,0x2a006b8e1ce06644b98a0b89b6526e9b77aa896e9204574725f3aa3e736b5fb2,success,2025-06-25T15:34:43.165080
12243,0x54a044b015a1209ad8111bf4e3a18b3cfc2eec11,0x849ddf5e5ed837805638339f7ac8e807bc3a19f63357409b8dbdcd62b1d4d504,3.42885725,arb,USDT,0x7dea6773ad522513d5f91cec0ced8868427bf5178c0c0c4687b8e32d1e770e1a,success,2025-06-25T15:34:43.165087
9166,0x06dd52564b68dde77b4e9d4e0e5d325f9a86746d,0x,3.16578905,arb,USDT,0x7ef4d050d2dbf2d519dc850170ace45bae2803c04d628fd02cafd55c9661f8ec,success,2025-06-25T15:34:43.165094
